Figure 3. Global Atmospheric Concentrations of Nitrous Oxide Over Time,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
Data source: Compilation of six underlying datasets,,,,,,
Web update: August 2016,,,,,,
Units: parts per billion (ppb) of nitrous oxide,,,,,,
,,,,,,
Year (negative values = BC),"EPICA Dome C, Antarctica",Antarctica (Battle et al.),"Cape Grim, Australia","South Pole, Antarctica","Barrow, Alaska","Mauna Loa, Hawaii"
Ice Core Measurements,,,,,,
-796475,254,,,,,
-794430,248.8,,,,,
-792569,238.7,,,,,
-790916,238.7,,,,,
-789474,249.7,,,,,
-788110,253.3,,,,,
-786882,252.7,,,,,
-785730,266.3,,,,,
-784579,303.3,,,,,
-783424,281.7,,,,,
-782151,268.7,,,,,
-780880,269.7,,,,,
-779646,279.7,,,,,
-778158,254,,,,,
-776797,254,,,,,
-775440,269.3,,,,,
-774034,273.3,,,,,
-772548,260.3,,,,,
-771046,271.3,,,,,
-770082,247,,,,,
-769885,266.7,,,,,
-769596,260,,,,,
-769258,274.7,,,,,
-768987,270.7,,,,,
-768353,271,,,,,
-768130,282.7,,,,,
-767754,287,,,,,
-767600,278.7,,,,,
-766626,282.5,,,,,
-765097,250.3,,,,,
-763978,241,,,,,
-763635,259.7,,,,,
-763314,264.7,,,,,
-763167,268.3,,,,,
-762634,286,,,,,
-762222,293,,,,,
-761874,289.3,,,,,
-760856,280,,,,,
-758079,249.7,,,,,
-756890,251.7,,,,,
-756467,274,,,,,
-756240,279,,,,,
-755556,289.7,,,,,
-755262,274,,,,,
-755043,286.7,,,,,
-754364,264.7,,,,,
-753097,251.7,,,,,
-751991,230.3,,,,,
-750612,231,,,,,
-749308,241.3,,,,,
-748096,246,,,,,
-746921,249.7,,,,,
-745764,238.7,,,,,
-744646,238,,,,,
-743515,235.3,,,,,
-742357,239.3,,,,,
-741217,231,,,,,
-740089,242,,,,,
-738939,252.3,,,,,
-737854,233.3,,,,,
-736871,251,,,,,
-735892,283.3,,,,,
-734964,258.3,,,,,
-734089,252.7,,,,,
-733151,250,,,,,
-732238,257.3,,,,,
-731204,261,,,,,
-730148,254.7,,,,,
-728964,263,,,,,
-727807,266.3,,,,,
-726909,253.7,,,,,
-726472,268.3,,,,,
-725212,257,,,,,
-723902,250.7,,,,,
-722434,264.7,,,,,
-720995,265.3,,,,,
-719303,253.3,,,,,
-717805,240,,,,,
-716045,217.3,,,,,
-714599,239,,,,,
-713172,274,,,,,
-711771,266.7,,,,,
-710387,260,,,,,
-709007,257.7,,,,,
-707678,271,,,,,
-704457,275,,,,,
-704053,268,,,,,
-702959,273.3,,,,,
-702257,263,,,,,
-701941,261,,,,,
-700996,274.7,,,,,
-700105,262,,,,,
-699258,251.3,,,,,
-698398,280.7,,,,,
-697606,271.3,,,,,
-697182,266.7,,,,,
-696332,254,,,,,
-696094,264.3,,,,,
-694696,264,,,,,
-693358,273.3,,,,,
-692694,266.3,,,,,
-692054,259,,,,,
-690747,259.7,,,,,
-690083,258,,,,,
-689413,245.7,,,,,
-688038,241.3,,,,,
-687325,262.3,,,,,
-686636,269.7,,,,,
-684436,260,,,,,
-683740,277.3,,,,,
-682099,260.3,,,,,
-681280,258,,,,,
-680689,257,,,,,
-680404,269.7,,,,,
-678573,237,,,,,
-677767,244.7,,,,,
-677149,247.7,,,,,
-676877,261,,,,,
-675023,236.7,,,,,
-674190,243.3,,,,,
-673154,280.3,,,,,
-671048,246.3,,,,,
-669944,218.7,,,,,
-669019,224,,,,,
-668934,249,,,,,
-666345,214.7,,,,,
-664983,202.3,,,,,
-660566,277.7,,,,,
-658958,250,,,,,
-657434,218,,,,,
-654842,248.7,,,,,
-654154,266.7,,,,,
-652446,233,,,,,
-650661,237.7,,,,,
-646921,251.7,,,,,
-644687,222.3,,,,,
-642514,252.7,,,,,
-641174,236.7,,,,,
-637654,233.7,,,,,
-634898,260.3,,,,,
-632368,226.3,,,,,
-627243,231.7,,,,,
-625126,232.7,,,,,
-624150,243.3,,,,,
-623508,268.3,,,,,
-622648,263.7,,,,,
-621226,267,,,,,
-620626,278.7,,,,,
-619765,274,,,,,
-619139,272,,,,,
-617741,277,,,,,
-614994,266,,,,,
-613661,274.3,,,,,
-612403,278,,,,,
-610002,266.7,,,,,
-608833,274.7,,,,,
-607631,274,,,,,
-606924,273,,,,,
-605178,276.7,,,,,
-603846,277,,,,,
-602505,264,,,,,
-599693,244,,,,,
-598283,268.3,,,,,
-596815,268.7,,,,,
-595986,254.7,,,,,
-593945,244.3,,,,,
-592627,287.3,,,,,
-591383,267,,,,,
-588429,226.7,,,,,
-587887,283.3,,,,,
-586698,278.3,,,,,
-584414,251,,,,,
-580018,221.3,,,,,
-579167,240.3,,,,,
-578411,244.3,,,,,
-577204,266,,,,,
-576649,272.7,,,,,
-576097,270,,,,,
-575049,250,,,,,
-574538,255,,,,,
-574045,257,,,,,
-573099,273.7,,,,,
-572647,261,,,,,
-572196,270,,,,,
-571310,269.3,,,,,
-570897,279,,,,,
-570473,274.7,,,,,
-569643,267,,,,,
-569231,269.3,,,,,
-568810,266.3,,,,,
-567998,279.7,,,,,
-567598,282,,,,,
-567206,278.5,,,,,
-566428,273,,,,,
-566036,274,,,,,
-565649,268.7,,,,,
-564884,269,,,,,
-564502,277,,,,,
-564105,283.3,,,,,
-563336,279.7,,,,,
-562955,274.7,,,,,
-562570,291,,,,,
-561784,267.7,,,,,
-561381,272,,,,,
-560971,276.7,,,,,
-560126,279.7,,,,,
-559689,275.5,,,,,
-559445,269.3,,,,,
-558492,280.3,,,,,
-558288,258.7,,,,,
-557793,267.3,,,,,
-557268,261,,,,,
-556214,245.7,,,,,
-555714,244,,,,,
-555215,261.7,,,,,
-554762,269,,,,,
-554173,283,,,,,
-553662,282,,,,,
-553169,271,,,,,
-552020,269,,,,,
-551364,242.3,,,,,
-550685,233.3,,,,,
-550273,242.7,,,,,
-549131,268,,,,,
-548337,271.5,,,,,
-547489,260.7,,,,,
-545580,246.3,,,,,
-544613,239,,,,,
-543489,250.7,,,,,
-540031,253.3,,,,,
-538845,246,,,,,
-536967,255,,,,,
-536457,252.3,,,,,
-535783,266.7,,,,,
-534181,264,,,,,
-531897,236,,,,,
-530774,241,,,,,
-527630,226.3,,,,,
-526749,270,,,,,
-526283,270.3,,,,,
-525928,263.7,,,,,
-524360,259.7,,,,,
-523613,264,,,,,
-522876,260.3,,,,,
-521373,247,,,,,
-520636,253,,,,,
-519967,254.7,,,,,
-518646,247.7,,,,,
-516086,260,,,,,
-514820,254.3,,,,,
-514445,281.7,,,,,
-513799,280.7,,,,,
-513538,288.7,,,,,
-512854,270,,,,,
-512164,284,,,,,
-510713,269,,,,,
-509980,265,,,,,
-509214,252.3,,,,,
-506944,268.7,,,,,
-506171,280.3,,,,,
-504736,275,,,,,
-503204,267,,,,,
-501827,281.3,,,,,
-501087,272.7,,,,,
-500320,265,,,,,
-498821,260.5,,,,,
-497317,263.3,,,,,
-495820,263.7,,,,,
-495066,265.7,,,,,
-494311,243.7,,,,,
-492774,254,,,,,
-491205,259.7,,,,,
-489650,266.3,,,,,
-488877,274,,,,,
-488162,268,,,,,
-486706,273.7,,,,,
-485980,264.7,,,,,
-485254,261.3,,,,,
-483760,254,,,,,
-482962,261.3,,,,,
-482147,257.3,,,,,
-480453,257,,,,,
-479572,254.7,,,,,
-478664,243,,,,,
-478130,255.7,,,,,
-476732,232,,,,,
-475721,241.5,,,,,
-474798,262,,,,,
-472774,255.3,,,,,
-471713,239,,,,,
-470670,240.7,,,,,
-468583,264,,,,,
-467456,248,,,,,
-466340,229.7,,,,,
-465584,212.3,,,,,
-463656,219,,,,,
-462321,238.7,,,,,
-460891,236.7,,,,,
-460145,244.7,,,,,
-458790,243.7,,,,,
-458204,231.7,,,,,
-456847,211,,,,,
-455458,218,,,,,
-453293,236.7,,,,,
-452758,256.3,,,,,
-452029,282.3,,,,,
-451514,260.7,,,,,
-450258,236.3,,,,,
-447950,195,,,,,
-446740,212.3,,,,,
-445658,242.3,,,,,
-444987,266,,,,,
-444620,263.7,,,,,
-443808,234,,,,,
-443339,233,,,,,
-442634,231.7,,,,,
-442188,249,,,,,
-441570,233.3,,,,,
-441110,240,,,,,
-438729,234.3,,,,,
-428778,236.3,,,,,
-425883,266,,,,,
-423696,260,,,,,
-422020,293.3,,,,,
-420465,278.3,,,,,
-418594,282.7,,,,,
-417128,274.3,,,,,
-415594,275,,,,,
-413886,269.3,,,,,
-412592,277,,,,,
-410927,277.3,,,,,
-409634,266,,,,,
-408308,282.7,,,,,
-406974,275.7,,,,,
-405815,286.7,,,,,
-404724,279,,,,,
-403738,274.7,,,,,
-402666,287.3,,,,,
-401554,283.3,,,,,
-400357,288.7,,,,,
-399350,283.3,,,,,
-398215,285.7,,,,,
-397015,290,,,,,
-395764,281.7,,,,,
-394520,292.3,,,,,
-393168,281.3,,,,,
-392199,275.7,,,,,
-391675,271.7,,,,,
-391197,281.7,,,,,
-390672,273,,,,,
-390130,267,,,,,
-389601,274.3,,,,,
-388965,266,,,,,
-388346,267,,,,,
-387736,256,,,,,
-387098,248.7,,,,,
-386441,244.2,,,,,
-385799,244,,,,,
-385204,274.7,,,,,
-384628,276,,,,,
-384084,277.7,,,,,
-383489,277.3,,,,,
-382911,268,,,,,
-382328,274,,,,,
-381708,253.3,,,,,
-381135,248,,,,,
-380571,268.7,,,,,
-379953,275.7,,,,,
-379449,289,,,,,
-378882,270.2,,,,,
-378310,279.7,,,,,
-377731,269,,,,,
-377165,247,,,,,
-375357,250.3,,,,,
-374102,243.3,,,,,
-373474,235.7,,,,,
-372787,231.3,,,,,
-372100,210.8,,,,,
-371793,223,,,,,
-370887,261.7,,,,,
-370352,264.7,,,,,
-369763,269.7,,,,,
-369140,265,,,,,
-367942,247.3,,,,,
-367350,245.7,,,,,
-366722,217.7,,,,,
-366097,215,,,,,
-365459,248.7,,,,,
-364852,245.7,,,,,
-364230,227,,,,,
-363560,236.3,,,,,
-362295,213.3,,,,,
-361674,228.3,,,,,
-360449,245,,,,,
-359840,224.7,,,,,
-359228,235.3,,,,,
-357885,203,,,,,
-357209,207.3,,,,,
-355886,211,,,,,
-353865,189,,,,,
-350659,228.3,,,,,
-349852,252.3,,,,,
-348547,237.3,,,,,
-347432,263.3,,,,,
-346227,248.7,,,,,
-343735,239.3,,,,,
-342555,226.7,,,,,
-339945,215,,,,,
-338585,216.3,,,,,
-337478,225.3,,,,,
-335518,253.7,,,,,
-334706,252,,,,,
-334020,253.3,,,,,
-333375,256,,,,,
-332861,264.3,,,,,
-332338,258,,,,,
-331905,271,,,,,
-331061,287.3,,,,,
-330627,282,,,,,
-330209,274.3,,,,,
-329478,280.3,,,,,
-328954,282.3,,,,,
-328425,301.7,,,,,
-327913,293.3,,,,,
-327378,286.7,,,,,
-326799,286.3,,,,,
-325752,275.3,,,,,
-325227,295,,,,,
-324679,277.3,,,,,
-324151,276.7,,,,,
-323608,291,,,,,
-323050,283,,,,,
-322457,269,,,,,
-321870,280,,,,,
-321281,286.7,,,,,
-320631,283,,,,,
-319954,277.3,,,,,
-319260,285,,,,,
-318521,271,,,,,
-317718,251.7,,,,,
-316892,264.3,,,,,
-316066,244,,,,,
-315294,245.3,,,,,
-314532,262,,,,,
-313820,285.7,,,,,
-313099,271.3,,,,,
-312359,284.7,,,,,
-311623,272.3,,,,,
-310923,277.7,,,,,
-310105,262,,,,,
-309288,269,,,,,
-308478,260.3,,,,,
-307600,263.3,,,,,
-306727,263,,,,,
-305849,256,,,,,
-304926,249,,,,,
-304067,243,,,,,
-303299,269.7,,,,,
-302528,266,,,,,
-301698,263.3,,,,,
-300904,258,,,,,
-300085,244.7,,,,,
-299204,228,,,,,
-298403,261.3,,,,,
-297147,253.7,,,,,
-296243,252.7,,,,,
-295335,228.7,,,,,
-294520,207,,,,,
-293717,256,,,,,
-292850,244,,,,,
-291925,250.7,,,,,
-291028,228.7,,,,,
-240650,254.3,,,,,
-240334,243,,,,,
-240028,267.3,,,,,
-239741,277,,,,,
-239427,273.3,,,,,
-239077,270.3,,,,,
-238723,260.7,,,,,
-238356,257,,,,,
-237989,252.7,,,,,
-237626,254.3,,,,,
-237207,267.3,,,,,
-236800,259.3,,,,,
-236371,238.3,,,,,
-236010,264,,,,,
-235495,270,,,,,
-235045,267,,,,,
-213475,240.7,,,,,
-212567,265.3,,,,,
-211639,257.3,,,,,
-210741,250.7,,,,,
-208954,252,,,,,
-208099,252.7,,,,,
-207202,258.7,,,,,
-206401,250.3,,,,,
-204404,253.3,,,,,
-203425,252.7,,,,,
-202401,243.7,,,,,
-201299,245.3,,,,,
-199342,256.7,,,,,
-198397,255,,,,,
-197399,254,,,,,
-196525,254,,,,,
-194664,244.3,,,,,
-193654,250,,,,,
-192549,248.3,,,,,
-191327,232,,,,,
-189115,251.3,,,,,
-187663,216.3,,,,,
-186545,227.3,,,,,
-185456,254,,,,,
-182912,216,,,,,
-181760,219.5,,,,,
-180309,226.7,,,,,
-179061,241.7,,,,,
-176468,234,,,,,
-175298,258,,,,,
-174079,271,,,,,
-172794,218.7,,,,,
-170474,229,,,,,
-169395,250.3,,,,,
-168210,246.2,,,,,
-167049,242.3,,,,,
-164956,240.7,,,,,
-163781,232.3,,,,,
-162599,212.3,,,,,
-161414,205,,,,,
-159381,226,,,,,
-158056,213.3,,,,,
-157047,236.3,,,,,
-156046,210,,,,,
-153613,204,,,,,
-152507,202,,,,,
-151389,185.5,,,,,
-150392,252.3,,,,,
-148178,258,,,,,
-147243,232.7,,,,,
-146083,223.3,,,,,
-145099,223.7,,,,,
-142882,215.7,,,,,
-141835,247.8,,,,,
-140827,217.7,,,,,
-139671,235.7,,,,,
-137462,266,,,,,
-136500,225,,,,,
-135568,243.7,,,,,
-134427,232.5,,,,,
-132437,211,,,,,
-131656,239.5,,,,,
-130926,226.3,,,,,
-130257,218.7,,,,,
-129158,229.3,,,,,
-128690,225.3,,,,,
-128284,232.7,,,,,
-127857,243.7,,,,,
-127146,243.3,,,,,
-126800,252.7,,,,,
-126473,265,,,,,
-126159,267.7,,,,,
-125469,255.7,,,,,
-125080,254.3,,,,,
-124729,254.7,,,,,
-124322,251.7,,,,,
-123486,263.3,,,,,
-123068,263,,,,,
-122702,264.7,,,,,
-122239,261.7,,,,,
-121436,262,,,,,
-121054,261.8,,,,,
-120606,262.7,,,,,
-120211,257.3,,,,,
-119383,265.7,,,,,
-118963,267.3,,,,,
-118548,263,,,,,
-118119,262.3,,,,,
-117289,254.3,,,,,
-116793,274,,,,,
-116318,270.7,,,,,
-115865,259.3,,,,,
-114892,257,,,,,
-114390,251,,,,,
-113861,256.7,,,,,
-113315,250.7,,,,,
-111644,254.7,,,,,
-111005,251.3,,,,,
-110361,249.3,,,,,
-109032,247,,,,,
-108384,233.3,,,,,
-107698,256.3,,,,,
-107007,250,,,,,
-105529,230,,,,,
-104899,243.7,,,,,
-104324,271,,,,,
-103748,266.3,,,,,
-102470,257.3,,,,,
-101835,242.3,,,,,
-101207,234,,,,,
-100590,233,,,,,
-99480,249.3,,,,,
-98949,262.3,,,,,
-98376,254.3,,,,,
-97805,256,,,,,
-96715,255.3,,,,,
-96195,257.3,,,,,
-95673,242,,,,,
-95136,257.3,,,,,
-94073,254.3,,,,,
-93538,263,,,,,
-93013,244,,,,,
-92507,237.7,,,,,
-91481,230.3,,,,,
-90938,245.7,,,,,
-90394,245.3,,,,,
-89849,236.3,,,,,
-88741,239.3,,,,,
-88163,240.7,,,,,
-87634,241.3,,,,,
-87111,246.3,,,,,
-86555,248,,,,,
-85950,232.3,,,,,
-85386,243.7,,,,,
-84775,224.7,,,,,
-84257,214.7,,,,,
-83251,219.7,,,,,
-82750,229.7,,,,,
-82273,243.3,,,,,
-81789,239.3,,,,,
-80915,267.3,,,,,
-80468,266,,,,,
-80033,265,,,,,
-79572,270.7,,,,,
-78618,251.3,,,,,
-78154,261.7,,,,,
-77676,261,,,,,
-77196,250.3,,,,,
-76200,262.3,,,,,
-75642,256,,,,,
-75104,250.3,,,,,
-74578,228,,,,,
-73472,235,,,,,
-72933,226,,,,,
-72442,255,,,,,
-71966,274.3,,,,,
-70903,254.3,,,,,
-70257,234.3,,,,,
-69660,216.3,,,,,
-69149,220.3,,,,,
-68216,251.3,,,,,
-67635,232.3,,,,,
-67022,217.3,,,,,
-66328,213.3,,,,,
-65125,209,,,,,
-64536,218,,,,,
-63980,224,,,,,
-63302,215,,,,,
-62066,214.7,,,,,
-61482,240.7,,,,,
-60869,248.3,,,,,
-60251,214,,,,,
-59101,228.5,,,,,
-58596,236.3,,,,,
-58099,223,,,,,
-57634,228.3,,,,,
-56659,269,,,,,
-56208,282.7,,,,,
-55770,262.7,,,,,
-55305,256.3,,,,,
-54366,247.7,,,,,
-53854,219,,,,,
-53337,236.3,,,,,
-52879,257.3,,,,,
-51919,249.3,,,,,
-51480,250.7,,,,,
-51040,269.3,,,,,
-50582,260.7,,,,,
-49669,263.7,,,,,
-49191,248.7,,,,,
-48671,241.7,,,,,
-48241,243,,,,,
-47306,224,,,,,
-46727,229,,,,,
-46223,220,,,,,
-45719,232.3,,,,,
-44794,257.3,,,,,
-44389,270.3,,,,,
-43927,251.3,,,,,
-43465,249,,,,,
-43033,233.7,,,,,
-42453,240.7,,,,,
-41911,227.5,,,,,
-41393,235,,,,,
-40938,245,,,,,
-39978,219.7,,,,,
-39419,240.3,,,,,
-39107,224.3,,,,,
-38911,232.3,,,,,
-38685,217,,,,,
-38421,243,,,,,
-38082,232.7,,,,,
-37639,220,,,,,
-37425,218.7,,,,,
-37070,217.3,,,,,
-36698,213,,,,,
-36287,221.7,,,,,
-35943,230.7,,,,,
-35569,254.7,,,,,
-35239,249.3,,,,,
-34572,245.7,,,,,
-34155,224,,,,,
-33702,216.7,,,,,
-33109,226.7,,,,,
-32717,225.7,,,,,
-32386,224,,,,,
-31906,223.7,,,,,
-31738,222,,,,,
-31302,219.9,,,,,
-30957,218.3,,,,,
-30464,220,,,,,
-30056,231,,,,,
-29451,223.3,,,,,
-29025,213.3,,,,,
-28667,215.7,,,,,
-28029,199,,,,,
-27367,211,,,,,
-26998,203.3,,,,,
-26549,221.3,,,,,
-26185,228.3,,,,,
-25729,219.7,,,,,
-25384,220.5,,,,,
-24964,231.3,,,,,
-23875,217.3,,,,,
-23386,235,,,,,
-22771,202.3,,,,,
-22349,227,,,,,
-21939,201.7,,,,,
-21521,209.7,,,,,
-21181,206.3,,,,,
-20765,219,,,,,
-20040,226.3,,,,,
-19835,240,,,,,
-19520,239,,,,,
-19269,228.7,,,,,
-19027,244.3,,,,,
-18762,279,,,,,
-18517,242.7,,,,,
-18174,242,,,,,
-18012,221.7,,,,,
-17745,242.7,,,,,
-17732,243,,,,,
-17528,244,,,,,
-17366,225,,,,,
-16941,217.5,,,,,
-16568,203.7,,,,,
-16307,253.3,,,,,
-15972,241.3,,,,,
-15833,223,,,,,
-15592,237.3,,,,,
-15368,231.3,,,,,
-15133,223.3,,,,,
-14881,256,,,,,
-14874,234,,,,,
-14685,228,,,,,
-14481,227,,,,,
-14292,223.5,,,,,
-14106,231.3,,,,,
-13919,226,,,,,
-13790,220.3,,,,,
-13605,223,,,,,
-13443,244.3,,,,,
-13267,222,,,,,
-13018,242.3,,,,,
-12921,240,,,,,
-12761,232.7,,,,,
-12584,237.7,,,,,
-12339,240,,,,,
-11991,267.7,,,,,
-11821,271,,,,,
-11697,268,,,,,
-11551,257.4,,,,,
-11478,261.7,,,,,
-11305,261.7,,,,,
-11127,257.7,,,,,
-10959,266.7,,,,,
-10798,265,,,,,
-10654,251.7,,,,,
-10533,246.7,,,,,
-10388,252.7,,,,,
-10089,245.3,,,,,
-9973,242.7,,,,,
-9858,238.3,,,,,
-9748,236.3,,,,,
-9675,239.3,,,,,
-9461,245,,,,,
-9380,245,,,,,
-9264,255.7,,,,,
-9180,253.3,,,,,
-9127,265.3,,,,,
-8975,269,,,,,
-8868,264,,,,,
-8756,266,,,,,
-8662,268.7,,,,,
-8567,273.5,,,,,
-8459,264,,,,,
-8321,273,,,,,
-8254,268.3,,,,,
-8147,271.7,,,,,
-8011,270,,,,,
-7933,269.3,,,,,
-7849,259,,,,,
-7749,260,,,,,
-7638,255,,,,,
-7559,260.3,,,,,
-7360,260.7,,,,,
-7257,255.7,,,,,
-7185,258,,,,,
-7133,256,,,,,
-7005,260.3,,,,,
-6893,260,,,,,
-6822,258,,,,,
-6698,257.7,,,,,
-6601,265.7,,,,,
-6503,265.3,,,,,
-6426,259,,,,,
-6324,262,,,,,
-6221,257,,,,,
-6207,256.4,,,,,
-6083,256.3,,,,,
-6009,259.3,,,,,
-5906,253.3,,,,,
-5819,254,,,,,
-5721,259,,,,,
-5623,257,,,,,
-5549,256,,,,,
-5455,258,,,,,
-5342,262,,,,,
-5259,258,,,,,
-5155,263.7,,,,,
-5069,262.7,,,,,
-4973,257.3,,,,,
-4867,259.3,,,,,
-4755,255.7,,,,,
-4661,265.3,,,,,
-4591,259,,,,,
-4454,259.7,,,,,
-4395,259,,,,,
-4306,253.3,,,,,
-4164,254.3,,,,,
-4083,260.7,,,,,
-4039,256.3,,,,,
-3884,258.7,,,,,
-3740,263.7,,,,,
-3702,263.7,,,,,
-3605,255.7,,,,,
-3506,266,,,,,
-3415,260.7,,,,,
-3320,265.3,,,,,
-3205,260.7,,,,,
-3050,260.3,,,,,
-2916,255.3,,,,,
-2806,260.3,,,,,
-2732,267.8,,,,,
-2602,259,,,,,
-2523,268.7,,,,,
-2415,263.3,,,,,
-2359,268.7,,,,,
-2355,269.7,,,,,
-2191,271,,,,,
-2131,264.7,,,,,
-2128,262,,,,,
-2044,261.7,,,,,
-1955,263.7,,,,,
-1822,256.3,,,,,
-1747,261,,,,,
-1662,260.3,,,,,
-1567,261.3,,,,,
-1483,261,,,,,
-1357,262.3,,,,,
-1258,261.7,,,,,
-1156,264,,,,,
-1078,268,,,,,
-927,268.3,,,,,
-849,268,,,,,
-769,263.3,,,,,
-653,267,,,,,
-566,271,,,,,
-476,268,,,,,
-375,267.7,,,,,
-257,268.3,,,,,
-169,268.3,,,,,
-95,263.7,,,,,
44,267.3,,,,,
158,268,,,,,
223,268.7,,,,,
322,264.3,,,,,
423,266,,,,,
519,263,,,,,
613,260.7,,,,,
820,268.7,,,,,
912,261,,,,,
1004,262.3,,,,,
1081,261.7,,,,,
1208,266.7,,,,,
1214,265.7,,,,,
1283,263,,,,,
1398,267,,,,,
1471,258.3,,,,,
1569,268,,,,,
1690,263,,,,,
1745,268.7,,,,,
1821,266.5,,,,,
1903,,278.7,,,,
1920,,281.3,,,,
1937,284.5,,,,,
1954,,286.2,,,,
1958,,288.1,,,,
1964,,291.2,,,,
1967,,291.5,,,,
1969,,294.4,,,,
1970,,293.8,,,,
1971,,294,,,,
1972,,295.6,,,,
1973,,296,,,,
1974,,295.7,,,,
1975,,298.3,,,,
1976,,297.4,,,,
1977,,299.2,,,,
1979,,300.9,300.1708333,,,
1980,,,301.0475,,,
1981,,,300.7509091,,,
1982,,,302.7283333,,,
1983,,,303.5325,,,
1984,,,304.1491667,,,
1985,,,304.2708333,,,
1986,,,304.5558333,,,
1987,,,305.1454545,,,
1988,,,306.0358333,,,
1989,,,307.0433333,,,
1990,,,308.1691667,,,
1991,,,308.9083333,,,
1992,,,309.7375,,,
1993,,,309.9079167,,,
1994,,,310.30975,,,
1995,,,310.9321667,,,
1996,,,311.70325,,,
1997,,,312.64275,,,
1998,,,313.3428333,312.86,,
1999,,,314.2494167,,314.7675,
2000,,,315.0316667,314.4933333,316.1383333,316.165
2001,,,315.7851667,315.4391667,316.8108333,316.9591667
2002,,,316.5149167,316.0141667,317.3908333,
2003,,,317.0801667,316.7933333,318.1775,318.2608333
2004,,,317.8450833,317.55,318.7341667,318.9566667
2005,,,318.3835,318.1766667,319.6116667,319.7508333
2006,,,319.1580833,318.9708333,320.4816667,320.4325
2007,,,319.7806667,319.6109091,,321.3241667
2008,,,320.8899167,320.7725,322.2766667,322.225
2009,,,321.5870833,321.5841667,323.0483333,322.9366667
2010,,,322.40325,322.4666667,323.82,323.8045455
2011,,,323.3523333,323.4241667,324.6958333,324.7116667
2012,,,324.3950833,324.38,325.5266667,325.5833333
2013,,,325.2196667,325.3075,326.5441667,326.4066667
2014,,,,326.1983333,327.71,327.6366667
2015,,,,327.3216667,328.605,328.6166667
