"Figure 2. Average Location of Three Fish and Shellfish Species in the Northeast, 1968–2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA and Rutgers University, 2016",,,,
Web update: August 2016,,,,
Units: miles,,,,
,,,,
Year,Latitude,Longitude,Common name,Change in latitude (miles)
1968,40.55286874,-70.97993487,American lobster,0
1969,40.52787787,-70.11043565,American lobster,-1.724370504
1970,40.2730342,-70.54892267,American lobster,-19.30858366
1971,40.77082129,-70.14359844,American lobster,15.03872547
1972,40.35434409,-70.96083411,American lobster,-13.69820109
1973,41.39268369,-68.67580146,American lobster,57.94723091
1974,41.4523,-69.29404749,American lobster,62.06075666
1975,41.05585509,-70.04750426,American lobster,34.70605765
1976,41.40307003,-68.93182532,American lobster,58.66388876
1977,41.54521323,-69.25197818,American lobster,68.47176932
1978,41.67415653,-69.06146001,American lobster,77.36885753
1979,41.27777175,-69.02738505,American lobster,50.01830743
1980,41.41471511,-68.90242039,American lobster,59.46739916
1981,41.96602619,-68.45129158,American lobster,97.50786386
1982,41.65439617,-69.2611979,American lobster,76.00539206
1983,41.60893749,-69.06754677,American lobster,72.86874351
1984,42.09686054,-68.45066274,American lobster,106.5354337
1985,41.87369301,-68.92788785,American lobster,91.13687422
1986,41.77989822,-68.95807275,American lobster,84.66503407
1987,42.15801293,-69.13506405,American lobster,110.7549488
1988,41.34388279,-68.93496845,American lobster,54.579969
1989,41.92679828,-69.11285559,American lobster,94.8011381
1990,41.76924077,-69.54669803,American lobster,83.92966948
1991,41.92152994,-69.14212844,American lobster,94.43762271
1992,42.16276979,-68.80366491,American lobster,111.0831723
1993,42.06470636,-68.8118014,American lobster,104.3167956
1994,42.03672861,-69.21557576,American lobster,102.3863304
1995,42.78422812,-68.16307744,American lobster,153.9637969
1996,42.36036716,-68.46734069,American lobster,124.7173909
1997,42.04307548,-69.30330101,American lobster,102.8242648
1998,42.07614305,-69.53880261,American lobster,105.1059271
1999,41.80297017,-69.4450266,American lobster,86.25699824
2000,42.3750401,-68.66361868,American lobster,125.7298238
2001,42.06187186,-69.04533738,American lobster,104.1212152
2002,41.61777583,-70.10547743,American lobster,73.47858915
2003,42.42434134,-68.20060669,American lobster,129.1316091
2004,42.39859067,-68.41851632,American lobster,127.3548128
2005,42.3530334,-68.91837376,American lobster,124.211361
2006,42.53098558,-68.46828123,American lobster,136.4900616
2007,42.42683995,-68.34169754,American lobster,129.304013
2008,42.48326229,-68.35072673,American lobster,133.1971546
2009,42.66658434,-68.49175849,American lobster,145.8463764
2010,42.47408841,-68.49038387,American lobster,132.5641571
2011,42.1665659,-68.60065943,American lobster,111.3451035
2012,42.67479452,-68.67289331,American lobster,146.4128787
2013,41.61113187,-68.6405167,American lobster,73.02015577
2014,42.29124425,-68.22905958,American lobster,119.94791
2015,42.12559309,-68.76918281,American lobster,108.5179798
1968,37.21671236,-74.64044003,Black sea bass,0
1969,37.07824822,-74.58710126,Black sea bass,-9.554025331
1970,38.29606617,-73.85066586,Black sea bass,74.47541316
1971,37.24288327,-74.65165918,Black sea bass,1.805793248
1972,37.6629167,-74.37075666,Black sea bass,30.78809958
1973,37.40842566,-74.48459032,Black sea bass,13.22821815
1974,37.848937,-74.43354837,Black sea bass,43.62350009
1975,37.45445485,-74.51508212,Black sea bass,16.4042322
1976,38.30342407,-73.78663872,Black sea bass,74.98310816
1977,37.28136965,-74.63029511,Black sea bass,4.46135293
1978,37.26256993,-74.6183056,Black sea bass,3.164172385
1979,37.32738006,-74.57933892,Black sea bass,7.636071311
1980,37.90669829,-74.19065164,Black sea bass,47.60902934
1981,38.02578011,-73.87089154,Black sea bass,55.82567497
1982,37.44969392,-74.35034585,Black sea bass,16.07572765
1983,39.07477698,-73.14002098,Black sea bass,128.2064589
1984,38.43974625,-73.72092474,Black sea bass,84.38933845
1985,39.12172541,-72.51629846,Black sea bass,131.4459007
1986,39.73725098,-72.20491006,Black sea bass,173.9171651
1987,38.36121311,-73.7808416,Black sea bass,78.97055212
1988,37.88618639,-74.22003184,Black sea bass,46.19370805
1989,37.75728068,-74.20622159,Black sea bass,37.29921411
1990,38.67337292,-73.22829564,Black sea bass,100.5095791
1991,37.82328221,-74.62887616,Black sea bass,41.85332008
1992,38.39052845,-73.77517784,Black sea bass,80.99331057
1993,38.92708755,-73.27381092,Black sea bass,118.0158887
1994,38.64873084,-73.16443993,Black sea bass,98.80927541
1995,39.48656254,-73.21783245,Black sea bass,156.6196629
1996,38.67251591,-73.21867045,Black sea bass,100.450445
1997,39.64073525,-72.72723843,Black sea bass,167.2575796
1998,38.65534406,-73.58226448,Black sea bass,99.26558785
1999,39.49782621,-72.68911747,Black sea bass,157.3968558
2000,39.60543843,-72.63400139,Black sea bass,164.8220992
2001,38.66616993,-73.43589039,Black sea bass,100.0125728
2002,38.92535562,-73.2670675,Black sea bass,117.8963853
2003,38.67483402,-73.48674941,Black sea bass,100.6103948
2004,38.21499493,-73.7296077,Black sea bass,68.8814977
2005,38.88415191,-73.29269581,Black sea bass,115.053329
2006,39.19511057,-72.9578647,Black sea bass,136.509477
2007,39.35134445,-72.79385914,Black sea bass,147.2896146
2008,38.98238677,-73.17428617,Black sea bass,121.8315342
2009,39.3431042,-72.83403598,Black sea bass,146.7210374
2010,38.65445772,-73.18404789,Black sea bass,99.20443003
2011,39.06464043,-72.76810749,Black sea bass,127.5070373
2012,39.41074962,-72.85887988,Black sea bass,151.3885712
2013,39.33650145,-72.51025629,Black sea bass,146.2654476
2014,39.77884679,-72.34079983,Black sea bass,176.7872761
2015,39.69227091,-72.62838745,Black sea bass,170.8135401
1968,40.70435753,-70.82194362,Red hake,0
1969,40.94080288,-70.2394235,Red hake,16.31472916
1970,40.78621252,-70.28898182,Red hake,5.647994096
1971,40.52043583,-70.83987295,Red hake,-12.69059736
1972,40.49993115,-71.14982184,Red hake,-14.10542088
1973,41.17198277,-70.45567637,Red hake,32.26614103
1974,41.06485353,-70.53960296,Red hake,24.87422371
1975,41.47744894,-69.97035862,Red hake,53.34330692
1976,41.539947,-69.70376885,Red hake,57.65567319
1977,40.79237698,-70.72670266,Red hake,6.073341581
1978,40.94254958,-70.20774872,Red hake,16.43525126
1979,41.67003954,-69.80317016,Red hake,66.63205818
1980,41.52360464,-69.57632886,Red hake,56.52805033
1981,41.08157463,-70.28635089,Red hake,26.02797934
1982,40.22452811,-71.72363526,Red hake,-33.10823041
1983,41.14698322,-70.04739799,Red hake,30.54117195
1984,41.62682141,-69.9977248,Red hake,63.65000763
1985,42.20022276,-69.22533514,Red hake,103.2147004
1986,41.72510659,-67.59051015,Red hake,70.43168496
1987,41.70065907,-69.16377374,Red hake,68.74480624
1988,41.35114319,-70.01108045,Red hake,44.62821034
1989,42.18672284,-68.69316022,Red hake,102.2832064
1990,41.52306822,-70.07153091,Red hake,56.49103751
1991,41.94286298,-68.8399211,Red hake,85.45687576
1992,42.26093024,-68.09033552,Red hake,107.4035164
1993,41.92030013,-69.10474983,Red hake,83.90003906
1994,41.92980153,-68.79586144,Red hake,84.55563582
1995,41.91028572,-68.9328539,Red hake,83.20904481
1996,41.96176012,-68.78820613,Red hake,86.76077854
1997,42.00322392,-69.01591452,Red hake,89.62178082
1998,42.47173425,-69.06377111,Red hake,121.9489931
1999,42.89956153,-67.98890096,Red hake,151.4690754
2000,42.2568827,-68.87377263,Red hake,107.1242367
2001,42.31887547,-68.88840334,Red hake,111.4017377
2002,42.16989349,-68.98357452,Red hake,101.1219811
2003,42.30731849,-67.99644828,Red hake,110.6043059
2004,42.45021741,-68.6315286,Red hake,120.4643315
2005,41.18273481,-68.54349535,Red hake,33.008032
2006,41.50851811,-67.48173974,Red hake,55.48708004
2007,41.59753509,-68.86269002,Red hake,61.62925098
2008,41.75345425,-69.80474401,Red hake,72.38767346
2009,41.747656,-67.77381849,Red hake,71.98759416
2010,42.00459445,-68.5547582,Red hake,89.71634701
2011,41.85962274,-68.70794524,Red hake,79.71329949
2012,41.89114763,-69.54281178,Red hake,81.88851663
2013,42.34139217,-68.0650507,Red hake,112.9553896
2014,42.1030852,-69.33016163,Red hake,96.51220896
2015,42.40285169,-68.20337641,Red hake,117.1960967
