"Figure 2. Change in Snow-to-Precipitation Ratio in the Contiguous 48 States, 1949-2016",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2016",,,,
Web update: August 2016,,,,
Units: percent change,,,,
,,,,
State,Lat,Long,"Percent change, 1949-2015","Significant (1 = sig, 0 = non-sig)"
CA,41.5306,-120.1803,-42.8666,1
CA,39.0911,-120.9481,1.3869,0
CA,41.3089,-123.5317,-0.7303,0
CA,39.1678,-120.1428,-1.1256,0
CA,41.7036,-122.6408,-15.7584,1
CO,39.9919,-105.2667,-0.2613,0
CO,38.8219,-102.3508,10.1773,0
CO,37.6908,-106.3083,-1.4673,0
CO,39.6261,-106.0353,-1.34,1
CO,40.5764,-105.0858,-1.4807,0
CO,38.5253,-106.9672,-2.68,0
CO,37.7717,-107.1097,-0.0201,0
CO,38.0517,-102.1317,-17.0917,0
CO,38.0936,-102.6306,-14.07,0
CO,38.0636,-103.2153,-9.3532,0
CO,38.0392,-103.6933,5.8357,0
CO,37.9492,-107.8736,2.077,0
DE,39.7739,-75.5414,-4.5359,0
ID,42.1231,-111.3133,-5.5744,0
ID,46.7281,-116.9558,-8.2477,0
ID,42.2342,-113.8981,-14.7333,1
ID,48.3511,-116.8353,-15.6043,1
IL,41.7806,-88.3092,-14.9008,1
IL,39.7347,-90.1978,-12.7032,1
IL,40.5839,-90.9686,20.8437,1
IL,42.0981,-89.9842,-4.958,0
IL,41.3283,-88.9106,-9.581,1
IL,39.0028,-87.6225,-10.1371,1
IL,40.8778,-88.6364,-4.355,0
IL,40.0839,-88.2403,-8.2343,0
IN,39.6439,-86.8767,-9.1589,1
IN,40.58,-85.6586,1.4137,0
IN,39.7594,-87.2269,-5.7888,0
IN,38.5528,-86.7944,1.9564,0
IA,41.0656,-92.7867,3.0619,0
IA,41.8814,-92.2764,-12.06,0
IA,43.0603,-92.6717,-7.6313,0
IA,40.7244,-95.0192,-6.1573,0
IA,41.7947,-90.2639,8.911,0
IA,41.0211,-91.9553,-0.7906,0
IA,42.8503,-91.8158,-10.0165,0
IA,41.6381,-95.7883,-17.0716,1
IA,43.0453,-92.3122,-10.1036,0
IA,42.0356,-92.5806,-7.8457,0
IA,41.2825,-91.7078,-7.4035,0
KS,37.1942,-99.7633,4.6699,0
KS,37.2733,-99.3289,-9.1857,0
KS,37.1764,-94.8397,-11.2627,1
KS,37.8428,-94.7086,-17.0381,1
KS,38.8586,-99.3358,-22.8805,1
KS,37.2364,-95.7003,-4.9982,0
KS,37.9411,-101.2492,-21.3194,1
KS,37.0222,-100.9294,-14.271,0
KS,39.1972,-96.5814,-17.621,1
KS,38.3772,-97.6097,-19.6511,1
KS,39.1247,-97.7047,-2.2512,0
KS,39.7411,-99.8361,-18.4585,1
KS,39.8189,-100.5342,-25.6945,1
KS,38.6133,-95.2808,-21.6544,1
KS,39.7675,-101.8067,-36.7495,1
KS,38.4747,-100.9175,-34.1231,1
KS,39.7772,-98.7783,-15.2492,1
ME,45.6603,-69.812,1.005,0
ME,44.9197,-69.2417,-5.3198,0
ME,44.6889,-70.1567,11.2292,1
ME,46.6539,-68.0089,-13.0181,1
MD,39.0303,-76.9314,5.2461,0
MD,39.2167,-76.0519,-5.4404,0
MD,39.4133,-79.4,3.8391,0
MD,38.7153,-76.1908,-2.6398,0
MA,42.3861,-72.5375,-6.03,0
MA,42.2122,-71.1136,-0.5963,0
MI,42.2947,-83.7108,25.46,1
MI,43.7072,-85.4822,-6.6464,0
MI,41.9622,-84.9925,1.7487,0
MI,41.9353,-84.6411,2.9212,0
MI,45.7858,-88.0842,3.5175,0
MI,46.4656,-90.1892,1.7018,0
MN,46.7047,-92.5253,-13.3866,1
MN,43.6447,-94.4656,-16.9711,1
MN,47.2436,-93.4975,-3.8525,0
MN,47.2467,-94.2228,-1.4405,0
MN,45.1219,-95.9269,-5.1121,0
MN,45.8775,-93.3147,-3.8927,0
MN,45.59,-95.8744,3.4639,0
MO,40.2394,-94.6833,4.5627,0
MO,37.4933,-94.3147,-14.1102,1
MO,37.3908,-93.9489,-6.8675,0
MO,37.3036,-89.9664,3.4237,0
MO,37.1542,-92.2617,-2.9413,0
MO,39.9714,-91.8872,-8.3147,0
MT,47.2194,-111.71,-6.8005,1
MT,47.8206,-112.1919,5.7151,0
MT,48.3042,-114.2636,-17.822,1
MT,45.4956,-110.5589,-8.8775,0
NE,41.0408,-96.3811,6.2511,0
NE,42.5136,-99.0303,-13.2995,0
NE,40.3706,-95.7469,12.1605,0
NE,40.1306,-99.8278,-20.1,1
NE,41.6681,-103.1039,1.0653,0
NE,41.4083,-99.675,-12.596,0
NE,40.6092,-96.8719,-25.9826,1
NE,40.0739,-97.1669,-11.0148,0
NE,40.6422,-97.5928,-8.3683,0
NE,41.4514,-97.7644,-9.2795,0
NE,40.175,-97.5903,-24.8838,1
NE,40.4517,-99.3803,-28.14,1
NE,41.2453,-103.6344,-7.906,1
NE,41.2808,-98.9681,-28.9105,1
NE,41.8292,-97.45,-11.9997,0
NE,42.0644,-97.9667,-19.028,1
NE,40.8997,-97.0908,-28.8703,1
NE,40.6661,-96.1892,-22.1502,1
NE,40.3544,-96.1939,-10.05,0
NE,42.2647,-96.8667,-11.2493,0
NH,42.9389,-72.3247,-16.5155,1
NJ,40.5739,-74.8811,3.6247,0
NJ,39.8144,-74.7883,-3.1691,0
NY,42.3108,-78.0231,0.67,0
NY,40.9461,-72.3069,-3.3366,0
NY,42.7167,-74.9267,-0.536,0
NY,41.0072,-73.8344,-17.6545,1
NY,42.0997,-76.8358,-1.7554,0
NY,42.4492,-76.4492,-6.9814,0
NY,43.7925,-75.4825,-4.1808,0
NY,41.7681,-74.155,-2.9614,0
NY,42.5117,-75.5197,-1.7353,0
NY,43.4622,-76.4933,7.3365,0
NY,44.1481,-74.9003,-14.5792,1
ND,48.9075,-103.2936,-6.7804,0
OH,41.0517,-81.9361,-3.8458,0
OH,41.2783,-84.3847,-1.1859,0
OH,39.2333,-83.6092,-0.1273,0
OH,41.3072,-81.0133,7.5978,0
OH,39.8386,-81.9167,-5.427,0
OH,38.7569,-82.8872,-13.8154,1
OH,41.2019,-80.8106,-5.1523,0
OH,40.7833,-81.9167,-8.1137,0
OR,45.2325,-120.1817,0.7035,0
OR,44.6342,-123.19,-5.8893,1
OR,43.7917,-123.0275,-5.4672,0
OR,42.8967,-122.1328,-1.1993,0
OR,45.4539,-121.1303,-9.2661,0
OR,45.5247,-123.1025,-11.7853,1
OR,42.4244,-123.3236,-5.3064,0
OR,45.4486,-122.1547,-8.6631,1
OR,45.3653,-119.5639,-12.1471,1
OR,45.4825,-120.7236,-6.3784,0
OR,42.9506,-123.3572,-7.3231,0
OR,45.2081,-117.8758,-12.3146,1
PA,39.9353,-77.6394,-10.4185,1
PA,41.4003,-79.8306,-1.5343,0
PA,41.7394,-75.4464,-8.8775,0
PA,41.4197,-78.7492,-1.1323,0
PA,40.7933,-77.8672,0.6164,0
PA,41.0125,-75.1906,0.8308,0
PA,41.7511,-76.4431,-16.6897,1
PA,41.8467,-79.1494,-2.4187,0
RI,41.4903,-71.5431,2.0837,0
SD,43.4892,-99.0631,-0.3752,0
SD,43.6514,-97.7847,-8.6028,0
SD,43.3056,-96.5917,-17.6344,0
SD,44.8817,-97.7325,-10.72,0
SD,43.9611,-101.8606,-3.1959,0
SD,45.0469,-101.605,-5.7084,0
SD,45.7644,-99.6353,-13.5809,1
SD,44.0686,-98.0833,-12.663,0
SD,43.4378,-103.4739,-17.9359,1
SD,43.9072,-99.8628,-13.2124,0
SD,43.2358,-97.5714,-9.6011,0
SD,42.7625,-96.9194,-28.6626,1
UT,37.4403,-112.4819,15.2291,1
UT,37.6131,-109.4847,-7.2025,0
UT,39.2872,-112.6519,-1.9765,0
UT,37.7686,-111.5978,-2.8877,0
UT,40.4917,-111.4261,5.7486,0
UT,37.0286,-112.5367,2.1038,0
UT,41.825,-111.3208,6.7335,0
UT,39.5608,-111.8653,-44.957,1
UT,41.7456,-111.8033,-1.6415,0
UT,39.2583,-111.6306,-0.7772,0
UT,40.5353,-112.3217,-2.9011,0
UT,41.525,-111.1494,14.9276,1
UT,37.2092,-112.9814,-16.0465,1
VT,43.3847,-72.5989,-1.3869,0
VT,44.42,-72.0194,11.4637,1
VA,37.2017,-80.4133,11.5843,1
VA,38.0328,-78.5225,-1.7353,0
VA,38.4547,-78.9353,6.3449,0
VA,37.3264,-78.3864,-3.953,0
VA,37.7767,-79.4386,-4.5627,0
VA,38.2322,-78.1203,4.7704,0
VA,37.3017,-76.7039,-6.5861,0
WA,46.9658,-123.8292,-4.3081,0
WA,47.4144,-121.7561,-14.5122,1
WA,46.72,-122.9528,-8.8239,0
WA,47.6575,-118.1614,-18.7265,1
WA,47.9558,-124.3539,-2.9949,0
WA,47.1358,-122.2558,-4.0669,0
WA,48.8742,-117.8667,-14.0968,1
WA,47.3328,-118.6967,-10.6597,0
WA,46.7603,-117.1861,-9.6748,0
WA,47.1175,-118.3714,-15.6244,1
WA,48.4958,-122.2355,-3.1289,0
WA,48.3508,-120.7264,-6.2511,0
WA,47.4289,-120.31,-12.4486,0
WV,38.9803,-80.22,-11.0282,1
WV,38.9339,-80.8325,-0.4355,0
WI,43.7953,-88.4533,-9.9696,0
WI,42.8278,-90.7889,-11.9327,0
WI,44.6411,-90.1333,7.6916,0
WI,43.0719,-88.0294,-4.9044,0
WI,45.8864,-89.7322,5.7352,0
WI,44.5378,-90.535,8.6966,0
WI,44.8919,-87.955,-0.9514,0
WI,44.0206,-88.5581,-12.1471,0
WI,43.5278,-89.4342,-12.1538,0
WI,42.7022,-87.7861,-10.1036,0
WI,45.8236,-91.8761,10.3582,0
WI,43.5594,-90.8761,-3.5175,0
WI,43.1742,-88.7364,-17.4937,1
WY,43.7728,-111.0339,0.0201,0
WY,44.38,-108.035,-1.6817,0
WY,41.7594,-104.8222,3.4036,0
WY,42.1106,-104.9492,7.3298,1
NY,42.1997,-75.985,-15.6311,1
NY,42.9486,-78.7369,-3.4237,0
NY,42.7431,-73.8092,-4.2612,0
PA,40.6508,-75.4492,-4.69,0
VT,44.4683,-73.15,-5.2193,0
NY,44.5772,-75.1097,-3.7855,0
ME,43.6497,-70.3003,-3.1557,0
RI,41.7219,-71.4325,-4.9982,0
NY,43.1167,-77.6767,2.9346,0
NY,43.1111,-76.1039,-12.1002,1
PA,41.2433,-76.9217,-16.4686,1
PA,42.08,-80.1825,8.3549,0
MN,44.8831,-93.2289,-6.3918,0
WY,41.1519,-104.8061,-0.4489,0
NV,40.6117,-116.8917,-7.3365,0
NV,40.8289,-115.7886,-1.8492,0
NV,40.9017,-117.8081,0.1407,0
WA,47.6217,-117.5281,-15.8187,1
WA,46.0947,-118.2869,-5.5342,0
MT,48.2138,-106.6213,-11.0148,1
NY,40.7789,-73.9692,-2.0636,0
